item_name,text,type,answers,values,side_by_side,question_width,optional,score:da_general,score:da_gaming,score:da_social_media,socre:da_messaging,score:da_streaming_video,score:da_reading,score:shopping,
CIAS_K3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_K4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_K5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_K6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_K7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions12
","<span style='color:#006699'><span style='font-size:20px'>I find myself online ______ instead of spending time with friends. <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_L1,In general,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_L2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_L3,On social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_L4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_L5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_L6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_L7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions13
","<span style='color:#006699'><span style='font-size:20px'>I get backaches or other physical discomfort from spending time online ______. <br>
",instruct,,,,,,,,,,,,,
